"A T Still University of Health Sciences,"106 E Washington St Kirksville MO","63501",@atsu.edu,40.194698,-92.583099
*"Abilene Christian University,"928 S 1st St Abilene TX","79602","@nicanor.acu"",32.4486,-99.732803
"Abraham Baldwin Agricultural College,"Us Highway 41 Tifton GA","31794",@abac.edu,31.4503,-83.508598
*"Academy at Austin,"239 Pecan St E Pflugerville TX","78660",""@austin.utexas.edu",30.439199,-97.619698
"Academy College","1101 E. 78th Street Suite 100 Minneapolis Minnesota 55420-1554","55420","@academycollege.edu",44.8388,-93.2789
"Academy of Art University","79 New Montgomery San Francisco California 94105","94105","@academyart.edu",37.789,-122.3946
"Academy of Chinese Culture and Health Sciences,"1455 Franklin St Oakland CA","94612","@acchs.edu",37.804401,-122.269699
"Academy of Natural Therapy,"984 19th Ave Greeley CO","80631","@naturalhealthacademy.edu",40.423302,-104.708603
"Acupuncture and Massage College","10506 N Kendall Drive Miami Florida 33176","33176","@amcollege.edu",25.6575,-80.36
"Adams State College,"845 4th St Alamosa CO","81101","@adams.edu",37.469398,-105.8694
"Adelphi University","South Ave Garden City New York 11530-0701","11530","@mail.adelph.edu",40.7271,-73.6412
"Adirondack Community College,"178 Sunnyside Rd E Queensbury NY","12804","@sunyacc.edu" ,43.377201,-73.613602
"Adler Graduate School,"285 W 66th St Richfield MN","55423","@alfredadler.edu",44.883301,-93.282799
"Adler School of Professional Psychology,"11 W Court Pl Chicago IL","60602","@adler.edu",41.883823,-87.632469
"Adrian College","110 S Madison St Adrian Michigan 49221-2575","49221","@adrian.edu",41.892,-84.0581
*"Agnes Scott College,"599 N McDonough St Decatur GA","30030","@emory.edu",33.7747,-84.296402
"AI Miami International University of Art and Design","1501 Biscayne Boulevard Miami Florida 33132-1418","33132","@aii.edu",25.7897,-80.1889
"AIB College of Business","2500 Fleur Drive Des Moines Iowa 50321-1799","50321","@aib.edu",41.5625,-93.6453
"Aiken Technical College,"55 Canal St Graniteville SC","29829","@atc.edu",33.563599,-81.808098
"Aims Community College,"984 19th Ave Greeley CO","80631","@aims.edu",40.423302,-104.708603
"Akron School of Practical Nursing,"12 W Bowery St Akron OH","44308","@uakron.edu",41.081402,-81.519203
"Alabama A & M University,"216 Winchester Rd NE Normal AL","35811","@aamu.edu",34.789902,-86.568199
*"Alabama Southern Community College,"84 N Mt Pleasant Ave Monroeville AL","36460",,31.5278,-87.324699
"Alabama State University,"819 S Union St Montgomery AL","36104","@alasu.edu",32.366698,-86.300003
*"Alamance Community College,"41 SW Court Sq Graham NC","27253",@triad.rr ,36.068901,-79.400803
"Alamo Community College District Central Office,"173 E Main Plz San Antonio TX","78205","@alamo.edu",29.423901,-98.493301
"Alaska Pacific University","4101 University Dr Anchorage Alaska 99508","99508","@alaskapacific.edu",61.2037,-149.8153
"Albany College of Pharmacy and Health Sciences,"40 Washington Ave Albany NY","12210","@ACPHS.edu",42.6525,-73.756699
"Albany Law School","80 New Scotland Avenue Albany New York 12208","12208","@albany.edu",42.6559,-73.8023
"Albany Medical College","47 New Scotland Ave Albany New York 12208-0000","12208","@mail.amc.edu",42.6559,-73.8023
*"Albany State University,"4751 Bullard Rd Albany GA","31044",,32.665981,-83.426102
"Albany Technical College,"390 Pine Ave Albany GA","31701","@albanytech.edu",31.5783,-84.1558
"Albertus Magnus College","700 Prospect St New Haven Connecticut 06511-1189","06511","@albertus.edu",41.3325,-72.9248
"Albion College","611 E Porter St Albion Michigan 49224","49224","@albion.edu",42.261,-84.7531
"Albright College,"535 Penn St Reading PA","19602","@albright.edu",40.335602,-75.9272
